Causas (lista reducida);Sexo;Nacionalidad;Total
001-102 I-XXII.Todas las causas;Ambos sexos;Total de defunciones;410.611
001-102 I-XXII.Todas las causas;Ambos sexos;PAÍSES DE EUROPA;407.432
001-102 I-XXII.Todas las causas;Ambos sexos;Países de la UE-27;406.598
001-102 I-XXII.Todas las causas;Ambos sexos;Alemania;1.632
001-102 I-XXII.Todas las causas;Ambos sexos;Austria;47
001-102 I-XXII.Todas las causas;Ambos sexos;Bélgica;403
001-102 I-XXII.Todas las causas;Ambos sexos;Bulgaría;224
001-102 I-XXII.Todas las causas;Ambos sexos;Dinamarca;120
001-102 I-XXII.Todas las causas;Ambos sexos;España;397.392
001-102 I-XXII.Todas las causas;Ambos sexos;Finlandia;95
001-102 I-XXII.Todas las causas;Ambos sexos;Francia;747
001-102 I-XXII.Todas las causas;Ambos sexos;Irlanda;118
001-102 I-XXII.Todas las causas;Ambos sexos;Italia;573
001-102 I-XXII.Todas las causas;Ambos sexos;Países Bajos;435
001-102 I-XXII.Todas las causas;Ambos sexos;Polonia;122
001-102 I-XXII.Todas las causas;Ambos sexos;Portugal;426
001-102 I-XXII.Todas las causas;Ambos sexos;Reino Unido;3.108
001-102 I-XXII.Todas las causas;Ambos sexos;Rumanía;816
001-102 I-XXII.Todas las causas;Ambos sexos;Suecia;195
001-102 I-XXII.Todas las causas;Ambos sexos;Resto de la UE-27;145
001-102 I-XXII.Todas las causas;Ambos sexos;Noruega;214
001-102 I-XXII.Todas las causas;Ambos sexos;Rusia;132
001-102 I-XXII.Todas las causas;Ambos sexos;Suiza;229
001-102 I-XXII.Todas las causas;Ambos sexos;Ucrania;158
001-102 I-XXII.Todas las causas;Ambos sexos;Resto de EUROPA;101
001-102 I-XXII.Todas las causas;Ambos sexos;PAÍSES DE ÁFRICA;1.166
001-102 I-XXII.Todas las causas;Ambos sexos;Argelia;67
001-102 I-XXII.Todas las causas;Ambos sexos;Marruecos;826
001-102 I-XXII.Todas las causas;Ambos sexos;Resto de ÁFRICA;273
001-102 I-XXII.Todas las causas;Ambos sexos;PAÍSES DE AMÉRICA;1.562
001-102 I-XXII.Todas las causas;Ambos sexos;Argentina;241
001-102 I-XXII.Todas las causas;Ambos sexos;Bolivia;63
001-102 I-XXII.Todas las causas;Ambos sexos;Brasil;79
001-102 I-XXII.Todas las causas;Ambos sexos;Colombia;171
001-102 I-XXII.Todas las causas;Ambos sexos;Cuba;107
001-102 I-XXII.Todas las causas;Ambos sexos;Ecuador;113
001-102 I-XXII.Todas las causas;Ambos sexos;Estados Unidos de América;190
001-102 I-XXII.Todas las causas;Ambos sexos;Perú;93
001-102 I-XXII.Todas las causas;Ambos sexos;Uruguay;107
001-102 I-XXII.Todas las causas;Ambos sexos;Resto de AMÉRICA;398
001-102 I-XXII.Todas las causas;Ambos sexos;PAÍSES DE ASIA;394
001-102 I-XXII.Todas las causas;Ambos sexos;China;141
001-102 I-XXII.Todas las causas;Ambos sexos;Resto de ASIA;253
001-102 I-XXII.Todas las causas;Ambos sexos;Resto de PAÍSES;21
001-102 I-XXII.Todas las causas;Ambos sexos;No consta;36
001-102 I-XXII.Todas las causas;Hombres;Total de defunciones;208.993
001-102 I-XXII.Todas las causas;Hombres;PAÍSES DE EUROPA;207.157
001-102 I-XXII.Todas las causas;Hombres;Países de la UE-27;206.665
001-102 I-XXII.Todas las causas;Hombres;Alemania;1.022
001-102 I-XXII.Todas las causas;Hombres;Austria;27
001-102 I-XXII.Todas las causas;Hombres;Bélgica;258
001-102 I-XXII.Todas las causas;Hombres;Bulgaría;117
001-102 I-XXII.Todas las causas;Hombres;Dinamarca;76
001-102 I-XXII.Todas las causas;Hombres;España;200.947
001-102 I-XXII.Todas las causas;Hombres;Finlandia;72
001-102 I-XXII.Todas las causas;Hombres;Francia;439
001-102 I-XXII.Todas las causas;Hombres;Irlanda;73
001-102 I-XXII.Todas las causas;Hombres;Italia;356
001-102 I-XXII.Todas las causas;Hombres;Países Bajos;272
001-102 I-XXII.Todas las causas;Hombres;Polonia;94
001-102 I-XXII.Todas las causas;Hombres;Portugal;271
001-102 I-XXII.Todas las causas;Hombres;Reino Unido;1.919
001-102 I-XXII.Todas las causas;Hombres;Rumanía;503
001-102 I-XXII.Todas las causas;Hombres;Suecia;114
