Comunidades autónomas y provincias;Españoles/Extranjeros;Edad (grupos quinquenales);Sexo;Periodo;Total
07 Castilla y León;Total;De 0 a 4 años;Total;1 de enero de 2019;82.319
07 Castilla y León;Total;De 0 a 4 años;Hombres;1 de enero de 2019;42.405
07 Castilla y León;Total;De 0 a 4 años;Mujeres;1 de enero de 2019;39.914
07 Castilla y León;Total;De 5 a 9 años;Total;1 de enero de 2019;97.964
07 Castilla y León;Total;De 5 a 9 años;Hombres;1 de enero de 2019;50.479
07 Castilla y León;Total;De 5 a 9 años;Mujeres;1 de enero de 2019;47.485
07 Castilla y León;Total;De 10 a 14 años  ;Total;1 de enero de 2019;104.284
07 Castilla y León;Total;De 10 a 14 años  ;Hombres;1 de enero de 2019;53.543
07 Castilla y León;Total;De 10 a 14 años  ;Mujeres;1 de enero de 2019;50.741
07 Castilla y León;Total;De 15 a 19 años  ;Total;1 de enero de 2019;101.274
07 Castilla y León;Total;De 15 a 19 años  ;Hombres;1 de enero de 2019;51.800
07 Castilla y León;Total;De 15 a 19 años  ;Mujeres;1 de enero de 2019;49.474
07 Castilla y León;Total;De 20 a 24 años;Total;1 de enero de 2019;102.614
07 Castilla y León;Total;De 20 a 24 años;Hombres;1 de enero de 2019;52.680
07 Castilla y León;Total;De 20 a 24 años;Mujeres;1 de enero de 2019;49.934
07 Castilla y León;Total;De 25 a 29 años;Total;1 de enero de 2019;110.129
07 Castilla y León;Total;De 25 a 29 años;Hombres;1 de enero de 2019;56.791
07 Castilla y León;Total;De 25 a 29 años;Mujeres;1 de enero de 2019;53.338
07 Castilla y León;Total;De 30 a 34 años;Total;1 de enero de 2019;124.216
07 Castilla y León;Total;De 30 a 34 años;Hombres;1 de enero de 2019;63.740
07 Castilla y León;Total;De 30 a 34 años;Mujeres;1 de enero de 2019;60.476
07 Castilla y León;Total;De 35 a 39 años;Total;1 de enero de 2019;153.444
07 Castilla y León;Total;De 35 a 39 años;Hombres;1 de enero de 2019;78.027
07 Castilla y León;Total;De 35 a 39 años;Mujeres;1 de enero de 2019;75.417
07 Castilla y León;Total;De 40 a 44 años;Total;1 de enero de 2019;181.714
07 Castilla y León;Total;De 40 a 44 años;Hombres;1 de enero de 2019;92.246
07 Castilla y León;Total;De 40 a 44 años;Mujeres;1 de enero de 2019;89.468
07 Castilla y León;Total;De 45 a 49 años;Total;1 de enero de 2019;184.625
07 Castilla y León;Total;De 45 a 49 años;Hombres;1 de enero de 2019;93.691
07 Castilla y León;Total;De 45 a 49 años;Mujeres;1 de enero de 2019;90.934
07 Castilla y León;Total;De 50 a 54 años;Total;1 de enero de 2019;191.701
07 Castilla y León;Total;De 50 a 54 años;Hombres;1 de enero de 2019;95.996
07 Castilla y León;Total;De 50 a 54 años;Mujeres;1 de enero de 2019;95.705
07 Castilla y León;Total;De 55 a 59 años;Total;1 de enero de 2019;188.884
07 Castilla y León;Total;De 55 a 59 años;Hombres;1 de enero de 2019;95.543
07 Castilla y León;Total;De 55 a 59 años;Mujeres;1 de enero de 2019;93.341
07 Castilla y León;Total;De 60 a 64 años;Total;1 de enero de 2019;167.850
07 Castilla y León;Total;De 60 a 64 años;Hombres;1 de enero de 2019;85.139
07 Castilla y León;Total;De 60 a 64 años;Mujeres;1 de enero de 2019;82.711
07 Castilla y León;Total;De 65 a 69 años;Total;1 de enero de 2019;143.441
07 Castilla y León;Total;De 65 a 69 años;Hombres;1 de enero de 2019;71.846
07 Castilla y León;Total;De 65 a 69 años;Mujeres;1 de enero de 2019;71.595
07 Castilla y León;Total;De 70 a 74 años  ;Total;1 de enero de 2019;131.130
07 Castilla y León;Total;De 70 a 74 años  ;Hombres;1 de enero de 2019;63.140
07 Castilla y León;Total;De 70 a 74 años  ;Mujeres;1 de enero de 2019;67.990
07 Castilla y León;Total;De 75 a 79 años  ;Total;1 de enero de 2019;106.169
07 Castilla y León;Total;De 75 a 79 años  ;Hombres;1 de enero de 2019;48.327
07 Castilla y León;Total;De 75 a 79 años  ;Mujeres;1 de enero de 2019;57.842
07 Castilla y León;Total;De 80 a 84 años  ;Total;1 de enero de 2019;97.563
07 Castilla y León;Total;De 80 a 84 años  ;Hombres;1 de enero de 2019;40.467
07 Castilla y León;Total;De 80 a 84 años  ;Mujeres;1 de enero de 2019;57.096
07 Castilla y León;Total;De 85 a 89 años  ;Total;1 de enero de 2019;79.246
07 Castilla y León;Total;De 85 a 89 años  ;Hombres;1 de enero de 2019;29.941
07 Castilla y León;Total;De 85 a 89 años  ;Mujeres;1 de enero de 2019;49.305
07 Castilla y León;Total;De 90 a 94 años  ;Total;1 de enero de 2019;38.593
07 Castilla y León;Total;De 90 a 94 años  ;Hombres;1 de enero de 2019;12.401
07 Castilla y León;Total;De 90 a 94 años  ;Mujeres;1 de enero de 2019;26.192
07 Castilla y León;Total;De 95 a 99 años  ;Total;1 de enero de 2019;10.798
07 Castilla y León;Total;De 95 a 99 años  ;Hombres;1 de enero de 2019;2.887
07 Castilla y León;Total;De 95 a 99 años  ;Mujeres;1 de enero de 2019;7.911
07 Castilla y León;Total;100 y más años;Total;1 de enero de 2019;1.590
07 Castilla y León;Total;100 y más años;Hombres;1 de enero de 2019;312
07 Castilla y León;Total;100 y más años;Mujeres;1 de enero de 2019;1.278
