Comunidades;Edad (grupos quinquenales);Sexo;Periodo;Total
Castilla y León;.0 - 4;Hombres;1 de enero de 2020;40816
Castilla y León;.0 - 4;Mujeres;1 de enero de 2020;38868
Castilla y León;.5 - 9;Hombres;1 de enero de 2020;49907
Castilla y León;.5 - 9;Mujeres;1 de enero de 2020;46702
Castilla y León;10 -- 14;Hombres;1 de enero de 2020;53927
Castilla y León;10 -- 14;Mujeres;1 de enero de 2020;51048
Castilla y León;15 - 19;Hombres;1 de enero de 2020;52738
Castilla y León;15 - 19;Mujeres;1 de enero de 2020;50001
Castilla y León;20 - 24;Hombres;1 de enero de 2020;52747
Castilla y León;20 - 24;Mujeres;1 de enero de 2020;50397
Castilla y León;25 - 29;Hombres;1 de enero de 2020;55894
Castilla y León;25 - 29;Mujeres;1 de enero de 2020;51968
Castilla y León;30 - 34;Hombres;1 de enero de 2020;61682
Castilla y León;30 - 34;Mujeres;1 de enero de 2020;58582
Castilla y León;35 - 39;Hombres;1 de enero de 2020;75018
Castilla y León; 35 - 39;Mujeres;1 de enero de 2020;72501
Castilla y León;40 - 44;Hombres;1 de enero de 2020;90945
Castilla y León;40 - 44;Mujeres;1 de enero de 2020;88325
Castilla y León;45 - 49;Hombres;1 de enero de 2020;93135
Castilla y León;45 - 49;Mujeres;1 de enero de 2020;90900
Castilla y León;50 - 54;Hombres;1 de enero de 2020;95556
Castilla y León;50 - 54;Mujeres;1 de enero de 2020;94656
Castilla y León;55 - 59;Hombres;1 de enero de 2020;95953
Castilla y León;55 - 59;Mujeres;1 de enero de 2020;95010
Castilla y León;60 - 64;Hombres;1 de enero de 2020;88045
Castilla y León;60 - 64;Mujeres;1 de enero de 2020;85893
Castilla y León;65 - 69;Hombres;1 de enero de 2020;72755
Castilla y León;65 - 69;Mujeres;1 de enero de 2020;71882
Castilla y León;70 - 74;Hombres;1 de enero de 2020;63886
Castilla y León;70 - 74;Mujeres;1 de enero de 2020;68842
Castilla y León;75 - 79;Hombres;1 de enero de 2020;51588
Castilla y León;75 - 79;Mujeres;1 de enero de 2020;61094
Castilla y León;80 - 84;Hombres;1 de enero de 2020;37647
Castilla y León;80 - 84;Mujeres;1 de enero de 2020;52934
Castilla y León;85 - 89;Hombres;1 de enero de 2020;30333
Castilla y León;85 - 89;Mujeres;1 de enero de 2020;49686
Castilla y León;90 - 94;Hombres;1 de enero de 2020;12808
Castilla y León;90 - 94;Mujeres;1 de enero de 2020;27014
Castilla y León;95 - 99;Hombres;1 de enero de 2020;3126
Castilla y León;95 - 99;Mujeres;1 de enero de 2020;8478
Castilla y León;Mayor de 100;Hombres;1 de enero de 2020;340
Castilla y León;Mayor de 100;Mujeres;1 de enero de 2020;1291
